Topic,Sub-Topic,Flashcard,Answer,Question,Difficulty level,Option A,Option B,Option C,Option D,Key,Explanation
,,,,HCF is 14 and LCM is 168. Find product,Hard,1176,2352,336,504,Option B,"We use the relationship directly: Product = HCF × LCM.
So, 14 × 168 = 2352.

If we wanted to check using prime factorization:

14 = 2 × 7

168 = 2 × 2 × 2 × 3 × 7
Multiplying gives 2352.

Product = 2352."
,,,,,,,,,,,
,Multiples,Do you know how to find the factorial of a number?,"The factorial of a number means multiplying that number by every whole number smaller than it, all the way down to 1.

For example, the factorial of 5 is written as 5!, and it equals 5 × 4 × 3 × 2 × 1 = 120.

It’s basically like saying, “start at that number and keep multiplying as you count backward until you reach 1.”",What is 4! ?,Easy,12,16,20,24,Option D,"Factorial of 4 means 4 × 3 × 2 × 1.
So, 4! = 24."
,,,,Which equals 6!?,Medium,120,600,720,360,Option C,"Factorial of 6 means 6 × 5 × 4 × 3 × 2 × 1.
Multiplying step by step, that gives 720.
So, 6! = 720."
,,,,Find 8!/6!,Hard,48,56,64,72,Option B,"Now, 8! means 8 × 7 × 6 × 5 × 4 × 3 × 2 × 1,
and 6! means 6 × 5 × 4 × 3 × 2 × 1.

When you divide, everything from 6 down to 1 cancels out, leaving only 8 × 7 = 56.
So, 8!/6! = 56."
,,Do you remember which mathematical concept helps us find the least possible length that can measure multiple given lengths exactly?,"To find the least possible length that can measure multiple given lengths exactly, you need to look for their Lowest Common Multiple (LCM). The LCM gives the smallest unit that can evenly divide all the given lengths without leaving anything extra.

For example, if you have ropes of 4 m, 5 m 50 cm, and 7 m, you first convert them into the same unit (like centimeters) and then find their LCM. That result is the least length that can measure all of them exactly.

It’s like asking, “What is the smallest measuring stick I can use so that all these lengths can be measured without cutting or leaving a remainder?”",Least length to measure 12 m and 18 m,Easy,6,12,18,36,Option D,"We want the smallest length that can exactly measure both 12 m and 18 m.
So, we find the LCM of 12 and 18.

12 = 2 × 2 × 3

18 = 2 × 3 × 3

LCM = 2 × 2 × 3 × 3 = 36.

So, the least length is 36 m."
,,,,"Least length to measure 15 cm, 20 cm, 25 cm",Medium,100,150,200,300,Option D,"Find the LCM of 15, 20, and 25.

15 = 3 × 5

20 = 2 × 2 × 5

25 = 5 × 5

Now, LCM must include 2 × 2, 3, and 5 × 5.
That is 2 × 2 × 3 × 5 × 5 = 300.

So, the least length is 300 cm."
,,,,"Least length to measure 45 m, 60 m, 75 m",Hard,225,300,450,900,Option D,"Find the LCM of 45, 60, and 75.

45 = 3 × 3 × 5

60 = 2 × 2 × 3 × 5

75 = 3 × 5 × 5

Now, LCM must include 2 × 2, 3 × 3, and 5 × 5.
That is 2 × 2 × 3 × 3 × 5 × 5 = 900.

So, the least length is 900 m."
,,Do you recall how to solve problems involving remainder and divisibility rules?,"When solving remainder and divisibility problems, the key idea is to see what is left over after dividing a number. The remainder tells you how much the number “falls short” of being fully divisible. Divisibility rules are shortcuts that help you quickly check if a number is divisible by another without doing full division.

For example, if a number leaves remainder 3 when divided by 5, it means the number is always of the form 5k + 3. Using such forms helps to solve problems faster.

It’s basically about spotting patterns in how numbers behave when divided.","If remainder is 3 when dividing by 5, number form is?",Easy,5k,5k+1,5k+3,5k+5,Option C,That means the number is always of the form 5k + 3.
,,,,"If number ÷ 12 leaves 7, remainder when ÷ 6?",Medium,1,2,3,4,Option A,"If a number leaves remainder 7 when divided by 12, we can write it as 12k + 7.
Now divide this by 6:

12k is divisible by 6

only +7 matters → 7 ÷ 6 = 1 remainder 1
So the remainder is 1."
,,,,"Number ÷ 24 leaves 19, remainder when ÷ 8?",Hard,1,3,5,7,Option B,"If a number leaves remainder 19 when divided by 24, then number = 24k + 19.
Now divide by 8:

24k is divisible by 8

only +19 matters → 19 ÷ 8 = 2 remainder 3
So the remainder is 3."
,,,,,,,,,,,
,Factors,Do you know how to find the number of factors of a given number?,"To find the number of factors of a number, you break it down into its prime factorisation and then use the exponents of those primes. Each exponent tells you how many times that prime can appear, and by combining the choices for each prime, you get the total number of factors.

For example, if a number is written as 2³ × 3², then the exponents are 3 and 2. You add 1 to each (making 4 and 3), and then multiply them: 4 × 3 = 12. So, the number has 12 factors.

In short: prime factorisation → increase each power by 1 → multiply → that gives the total factors.",Number of factors of 36,Easy,6,9,12,18,Option B,"First, break 36 into prime factors: 36 = 2² × 3².

The exponents are 2 and 2.

Add 1 to each exponent → (2+1) and (2+1) = 3 and 3.

Multiply them → 3 × 3 = 9.

So, 36 has 9 factors."
,,,,Number of factors of 72,Medium,10,12,14,15,Option B,"Prime factorisation: 72 = 2³ × 3².

The exponents are 3 and 2.

Add 1 to each exponent → (3+1) and (2+1) = 4 and 3.

Multiply them → 4 × 3 = 12.

So, 72 has 12 factors."
,,,,Number of factors of 120,Hard,12,14,16,18,Option C,"Prime factorisation: 120 = 2³ × 3¹ × 5¹.

The exponents are 3, 1, and 1.

Add 1 to each exponent → (3+1), (1+1), (1+1) = 4, 2, 2.

Multiply them → 4 × 2 × 2 = 16.

So, 120 has 16 factors."
,,Do you remember how to calculate the sum of all factors of a number expressed as a^x × b^y × c^z?,"If a number is expressed in the form of prime factors like a^x × b^y × c^z, then the sum of all factors is found by [(a^(x+1) – 1) / (a – 1)] × [(b^(y+1) – 1) / (b – 1)] × [(c^(z+1) – 1) / (c – 1)]",Sum of factors of 28,Easy,28,56,60,48,Option B,"Prime factorisation: 28 = 2² × 7¹

Apply the formula:
( (2^(2+1) – 1) / (2 – 1) ) × ( (7^(1+1) – 1) / (7 – 1) )

Simplify: ( (2³ – 1) / 1 ) × ( (7² – 1) / 6 )

(8 – 1) × (49 – 1) / 6 = 7 × 48 / 6

7 × 8 = 56

Sum of factors of 28 = 56"
,,,,Sum of factors of 100,Medium,217,120,124,112,Option A,"Prime factorisation: 100 = 2² × 5²

Apply the formula:
( (2^(2+1) – 1) / (2 – 1) ) × ( (5^(2+1) – 1) / (5 – 1) )

Simplify: ( (8 – 1) / 1 ) × ( (125 – 1) / 4 )

7 × (124 / 4) = 7 × 31 = 217

Sum of factors of 100 = 217"
,,,,Sum of factors of 160,Hard,336,372,378,248,Option C,"Prime factorisation: 160 = 2⁵ × 5¹

Apply the formula:
( (2^(5+1) – 1) / (2 – 1) ) × ( (5^(1+1) – 1) / (5 – 1) )

Simplify: ( (64 – 1) / 1 ) × ( (25 – 1) / 4 )

63 × (24 / 4) = 63 × 6 = 378

Sum of factors of 160 = 378"
,,"Do you remember the formula for finding the product of all factors of a number if it has 
""n"" factors?","The product of all factors of a number can be found using a neat trick. If a number has n factors, then the product of all its factors is equal to the number raised to the power of n ÷ 2.

For example, the number 20 has 6 factors (1, 2, 4, 5, 10, 20). If you multiply them all, the result is 20³. That’s because 20 has 6 factors, and 6 ÷ 2 = 3.

So in general: Product of factors = (number)^(total number of factors ÷ 2).

It works because every factor pairs up with another factor to give back the original number.",Product of factors of 20,Easy,20²,20³,20⁴,20⁶,Option B,"Prime factorisation: 20 = 2² × 5¹

Number of factors = (2+1)(1+1) = 3 × 2 = 6

Product of factors = 20^(6 ÷ 2) = 20³"
,,,,Product of factors of 24,Medium,24³,24⁴,24⁶,24²,Option B,"Prime factorisation: 24 = 2³ × 3¹

Number of factors = (3+1)(1+1) = 4 × 2 = 8

Product of factors = 24^(8 ÷ 2) = 24⁴"
,,,,Product of factors of 30,Hard,30³,30⁴,30⁵,30⁶,Option B,"Prime factorisation: 30 = 2¹ × 3¹ × 5¹

Number of factors = (1+1)(1+1)(1+1) = 2 × 2 × 2 = 8

Product of factors = 30^(8 ÷ 2) = 30⁴"
,,Do you know how to find the number of trailing zeroes in a factorial?,"To find the number of trailing zeroes in a factorial, you need to count how many times the number 10 is a factor in it. Since 10 is made of 2 and 5, and factorials always have more 2s than 5s, the count of 5s decides the number of zeros.

So, you keep dividing the number by 5, then 25, then 125, and so on, adding up the quotients. The total you get is the number of trailing zeroes.

For example, in 100!, the number of trailing zeroes is given by 100 ÷ 5 + 100 ÷ 25 = 20 + 4 = 24.

In short: Count how many 5s appear in the factorial - that’s the number of trailing zeroes.

Formula

For any number n!:

Trailing zeros = [n/5] + [n/25] + [n/125] + … (until division gives 0)",Trailing zeroes in 10!,Easy,2,3,4,5,Option A,"Use the formula: [n/5] + [n/25] + …

10 ÷ 5 = 2

10 ÷ 25 = 0 (stop)
Add them = 2

So, 10! has 2 trailing zeroes."
,,,,Trailing zeroes in 50!,Medium,10,12,13,14,Option B,"50 ÷ 5 = 10

50 ÷ 25 = 2

50 ÷ 125 = 0 (stop)
Add them = 10 + 2 = 12

So, 50! has 12 trailing zeroes."
,,,,Trailing zeroes in 100!,Hard,22,23,24,25,Option C,"100 ÷ 5 = 20

100 ÷ 25 = 4

100 ÷ 125 = 0 (stop)
Add them = 20 + 4 = 24

So, 100! has 24 trailing zeroes."
,,,,,,,,,,,
Ages,Ages,The sum of the ages of a father and son is 50 years. The father is 30 years older than the son. Can you calculate the son’s age?,"Let the son’s age be x. Then the father’s age is x + 30.
So, x + (x + 30) = 50 → 2x + 30 = 50 → 2x = 20 → x = 10.

Therefore, the son is 10 years old and the father is 40 years old.",The sum of the ages of a father and son is 45 years. The father is 25 years older than the son. What is the son’s age?,Easy,40,10,20,25,Option B," Let the son’s age be $x$.
    
Then the father’s age $= x + 25$.
    
 $x + (x + 25) = 45$.
    
$2x + 25 = 45$.
    
   $2x = 20$
   
   $x = 10$.
    
Son’s age = $10$ years, 

Father’s age = $35$ years."
,,,,The sum of ages of 4 children born at intervals of 2 years is 36. What is the youngest child’s age?,Medium,12,24,8,6,Option D,"Let the age of the youngest child be $x$.  

Then their ages are $x, (x+2), (x+4), (x+6)$.  

$x + (x+2) + (x+4) + (x+6) = 36$.  

$4x + 12 = 36$.  

$4x = 24$.  

$x = \dfrac{24}{4} = 6$.  

The youngest child's age $= 6$ years.  "
,,,,"The sum of the ages of a man, his wife, and their son is 78 years. The man is twice as old as the wife, and the wife is 4 times as old as their son. Find the ages in the order of man, wife, and son.",Hard,"12,24,48","6,12,24","48, 24, 6","24,12,28",Option C,"Let the son's age be $x$.  

Then the wife's age $= 4x$.  

The man's age $= 2 \times 4x = 8x$.  

$x + 4x + 8x = 78$.  

$13x = 78$.  

$x = \dfrac{78}{13} = 6$.  

Son's age $= 6$ years,  

Wife's age $= 24$ years,  

Man's age $= 48$ years.  "
,,"A father is 4 times as old as his son. After 10 years, the father will be twice as old as his son. Can you calculate their present ages?","Let the son’s age be x. Then the father’s age is 4x.
After 10 years: father = 4x + 10, son = x + 10.
Set up the equation: 4x + 10 = 2(x + 10).
So 4x + 10 = 2x + 20 → 4x − 2x = 20 − 10 → 2x = 10 → x = 5.

Therefore the son is 5 years old and the father is 20 years old.",A father is 3 times as old as his son. Their total age is 64 years. Find the present ages of the son and father.,Easy,"16,48","16,32","24,16","12,24",Option A,"Let the son’s age be $x$.
    
 Then the father’s age $= 3x$.
    
$x + 3x = 64$.
    
 $4x = 64$.
    
$x = \dfrac{64}{4} = 16$.
    

Son’s age = $16$ years,  

Father’s age = $48$ years."
,,,,A father is 4 times as old as his son. Their total age is 70 years. Find the present ages of the son and father.,Medium,"14,28","14,42","14,56","14,70",Option C,"Let the son's age be $x$.  

Then the father's age $= 4x$.  

$x + 4x = 70$.  

$5x = 70$.  

$x = \dfrac{70}{5} = 14$.  

Son's age $= 14$ years,  

Father's age $= 56$ years.  "
,,,,"The sum of the ages of a man, his wife, and their son is 90 years. The man is 3 times as old as his son, and the wife is twice as old as their son. Find the present ages of son, wife and man.",Hard,"15,30,45","15,20,35","35,20,12","12,24,28",Option A,"Let the son's age be $x$.  

Then the wife's age $= 2x$.  

The man's age $= 3x$.  

$x + 2x + 3x = 90$.  

$6x = 90$.  

$x = \dfrac{90}{6} = 15$.  

Son's age $= 15$ years,  

Wife's age $= 30$ years,  

Man's age $= 45$ years.  "
,,"The ratio of a father’s age to his son’s age is $5:2$. After 10 years, the ratio will become $7:3$. Can you calculate their present ages?","Let the father’s present age $= 5x$, son’s present age $= 2x$.  

After 10 years:  
Father’s age $= 5x + 10$,  
Son’s age $= 2x + 10$.  

According to the question:  
$\dfrac{5x + 10}{2x + 10} = \dfrac{7}{3}$  

Cross multiply:  
$3(5x + 10) = 7(2x + 10)$  

$15x + 30 = 14x + 70$  

$15x - 14x = 70 - 30$  

$x = 40$  

Father’s present age $= 5x = 200$ years.  
Son’s present age $= 2x = 80$ years.
Father’s age $= 200$ years, Son’s age $= 80$ years.","The ratio of A and B’s present ages is $2:3$. After $5$ years, the ratio becomes $3:4$. Find their present ages.",Easy,"10,20","10,15","12, 24","20,30",Option B,"Let A's age be $2x$, and B's age be $3x$.  

After $5$ years, $\dfrac{2x+5}{3x+5} = \dfrac{3}{4}$.  

$4(2x+5) = 3(3x+5)$.  

$8x + 20 = 9x + 15$.  

$x = 5$.  

A's age $= 2x = 10$ years,  

B's age $= 3x = 15$ years.  "
,,,,"The ratio of A and B’s present ages is $4:7$. After $6$ years, the ratio becomes $5:8$. Find their present ages.",Medium,"24,48","12,42","12,24","24,42",Option D,"Let A's age be $4x$, and B's age be $7x$.  

After $6$ years, $\dfrac{4x+6}{7x+6} = \dfrac{5}{8}$.  

$8(4x+6) = 5(7x+6)$.  

$32x + 48 = 35x + 30$.  

$3x = 18$
 
 $x = 6$.  

A's age $= 4x = 24$ years,  

B's age $= 7x = 42$ years. "
,,,,"The ratio of A and B’s present ages is $3:5$. After $8$ years, the ratio becomes $7:9$. Find their present ages.",Hard,"6,10","22,6","10,22","14,22",Option A,"Let A's age be $3x$, and B's age be $5x$.  

After $8$ years, $\dfrac{3x+8}{5x+8} = \dfrac{7}{9}$.  

$9(3x+8) = 7(5x+8)$.  

$27x + 72 = 35x + 56$.  

$8x = 16$

 $x = 2$.  

A's age $= 3x = 6$ years,  

B's age $= 5x = 10$ years.  "
Averages,Averages,"The average age of 50 students is 20 years. If a teacher joins them, the average increases by 2 years. Can you calculate the teacher’s age?","Let the average age of 50 students be $20$.  

Total age of 50 students $= 50 \times 20 = 1000$.  

Let the teacher's age be $x$. 
After the teacher joins, total people $= 51$, new average $= 22$.  

So, $1000 + x = 51 \times 22$  

$1000 + x = 1122$  

$x = 1122 - 1000 = 122$

Teacher's age $= 122$ years.",The average age of 10 people is 25 years. A new person joins them and the average becomes 26 years. Find the age of the new person.,Easy,12,36,24,48,Option B,"Total age of 10 people $= 10 \times 25 = 250$.  

Total age with new person $= 11 \times 26 = 286$.  

New person's age $= 286 - 250 = 36$.  

New person's age = $36$. "
,,,,"The average age of 40 students is 22 years. If a teacher joins them, the average increases by 3 years. Find the age of the teacher.",Medium,135,140,145,150,Option C,"Total age of 40 students $= 40 \times 22 = 880$.  

New average $= 22 + 3 = 25$.  

Total age with teacher $= 41 \times 25 = 1025$.  

Teacher's age $= 1025 - 880 = 145$.  

Teacher's age = $145$.
"
,,,,"The average age of 60 people is 25 years. Five new people join the group and the average becomes 27 years. Find the average age of the five new people.
",Hard,24,53,52,51,Option D,"Total age of 60 people $= 60 \times 25 = 1500$.  

Total age with 65 people $= 65 \times 27 = 1755$.  

Age of 5 new people $= 1755 - 1500 = 255$.  

Average age of 5 new people $= \dfrac{255}{5} = 51$.  

Average age of 5 new people = $51$. "
,,A batsman’s average after 16 innings increases by 3 when he scores 87 runs in the 17th innings. Can you calculate his new average?,"Let the batsman's average after 16 innings be $x$.  

Total runs after 16 innings $= 16x$.  

After 17th innings, he scores 87 and the new average $= x + 3$.  

So, $16x + 87 = 17(x + 3)$  

$16x + 87 = 17x + 51$  

$36 = x$  

New average $= x + 3 = 36 + 3 = 39$.",A batsman’s average after $9$ innings increases by $2$ when he scores $35$ runs in the $10$th innings. Find his new average.,Easy,15,17,19,20,Option B,"Let the batsman's average after $9$ innings be $A$.

Total after $9$ innings $=9A$.

After scoring $35$ in the $10$th, new average $=A+2$, so total $=10(A+2)$.

$9A+35=10(A+2)$.

$9A+35=10A+20$.

$A=15$.

New average $=A+2=17$."
,,,,A batsman’s average after $15$ innings increases by $4$ when he scores $92$ runs in the $16$th innings. Find his new average.,Medium,28,30,32,34,Option C,"Let the batsman's average after $15$ innings be $A$.

Total after $15$ innings $=15A$.

After scoring $92$ in the $16$th, new average $=A+4$, so total $=16(A+4)$.

$15A+92=16(A+4)$.

$15A+92=16A+64$.

$A=28$.

New average $=A+4=32$."
,,,,A batsman’s average after $20$ innings increases by $5$ when he scores $135$ runs in the $21$st innings. Find his new average.,Hard,35,32,50,48,Option A,"Let the batsman's average after $20$ innings be $A$.

Total after $20$ innings $=20A$.

After scoring $135$ in the $21$st, new average $=A+5$, so total $=21(A+5)$.

$20A+135=21(A+5)$.

$20A+135=21A+105$.

$A=30$.

New average $=A+5=35$."
,,"The average salary of all workers is Rs. 8000. The average salary of 7 technicians is Rs. 12000, and the average salary of the rest is Rs. 6000. Can you calculate the total number of workers?","Let the total number of workers be $n$.  

Total salary of all workers $= 8000n$.  

Number of technicians $= 7$, average salary $= 12000$, so total salary $= 7 \times 12000 = 84000$.  

Number of other workers $= n-7$, average salary $= 6000$, so total salary $= 6000(n-7)$.  

Total salary of all workers $= \text{Salary of technicians + Salary of others}$  

$8000n = 84000 + 6000(n-7)$  

$8000n = 84000 + 6000n - 42000$  

$8000n - 6000n = 42000$  

$2000n = 42000$  

$n = 21$
  
Total number of workers $= 21$","The average marks of 8 students $= 60$. Average marks of 3 boys $= 70$, and the rest of the students $= 55$. Find the total number of students.",Easy,10,9,11,12,Option B,"Total marks of 3 boys $= 3 \times 70 = 210$.  

Let the total number of students be $n$, number of other students $= n-3$, average marks $= 55$.  
Total marks of other students $= 55(n-3)$.  

Total marks of all students $= \text{Marks of 3 boys + Marks of others}$  

$60n = 210 + 55(n-3)$  

$60n = 210 + 55n - 165$  

$60n - 55n = 45$  

$5n = 45$  

$n = 9$
 Total number of students $= 9$"
,,,,"The average salary of all employees $= 25000$. Average salary of 5 managers $= 40000$, and the rest $= 22000$. Find the total number of employees.",Medium,22,29,28,30,Option D,"Total salary of 5 managers $= 5 \times 40000 = 200000$.  

Let the total number of employees be $n$, number of other employees $= n-5$, average salary $= 22000$.  
Total salary of other employees $= 22000(n-5)$.  

Total salary of all employees $= \text{Salary of managers + Salary of others}$  

$25000n = 200000 + 22000(n-5)$  

$25000n = 200000 + 22000n - 110000$  

$25000n - 22000n = 90000$  

$3000n = 90000$  

$n = 30$

Total number of employees $= 30$"
,,,,"The average score of all players $= 80$. Average score of 6 senior players $= 95$, and the rest $= 75$. Find the total number of players.",Hard,22,24,26,28,Option B,"Total score of 6 senior players $= 6 \times 95 = 570$.  

Let the total number of players be $n$, number of other players $= n-6$, average score $= 75$.  
Total score of other players $= 75(n-6)$.  

Total score of all players $= \text{Score of senior + Score of others}$  

$80n = 570 + 75(n-6)$  

$80n = 570 + 75n - 450$  

$80n - 75n = 120$  

$5n = 120$  

$n = 24$

Total number of players $= 24$."
,,,,,,,,,,,
Partnerships,Partnerships,Do you have an idea which previous concept we learned is applied in partnership problems?,Ratios and Proportions,"A and B invest in a business Rs. 5,000 and Rs. 8,000, respectively. If the total profit is Rs. 2600 at the end of the year, and they invested for the same amount of time, what is the profit share of B?",Easy,Rs 1700,Rs 1800,Rs 1600,Rs 1500,Option C,"Given,  A=Rs. 5,000 , B= Rs. 8,000
so, ratio of investment of A& B is , A:B =Rs. 5,000 : Rs. 8,000 = 5:8
sum of the ratio = 5+8 = 13
B's profit share = (B's ratio part / Total ratio parts) x Total Profit
B's profit share = (8/13)×2600
B's profit share = 8×200
B's profit share = Rs. 1,600"
,,,,"A, B, and C start a business. The ratio of their capital is 2:3:4. What is the ratio of their profits if they invest for 6, 8, and 12 months, respectively?",Medium,1 : 2 : 4,1 : 2 : 3,1 : 3 : 4,2 : 3 : 4,Option A,"Profit ∝ Investment × Time
so -   A's Effective Investment: 2×6=12
B's Effective Investment: 3×8=24
 C's Effective Investment: 4×12=48
 The profit ratio will be the same as the ratio of their effective investments.
A's Profit : B's Profit : C's Profit = 12:24:48 = 1 : 2 : 4"
,,,,"A, B, and C invest in a business. A invests 1/3 of the total capital, and B invests as much as A and C together. If the total profit at the end of the year is Rs. 18,000, what is C's share of the profit?",Hard,Rs 3500,Rs 2800,Rs 4000,Rs 3000,Option D,"let be total capital be : x, so   A= x/3
B invests as much as A+C ⇒ B= A+C
now total capital ,
A+B+C = x
x/3 + x/3 + 2C = x
2x/3-x = -2C
-x/3= -2C ⇒ C = x/6
so the ratio of A:B:C = x/3 : x/2 : x/6 ⇒ 2:3:1
Profit share for C = 1/(2+3+1) × 18000 ⇒  Rs 3000"
,,Do you have an idea of the formula used in partnership problems when both investment and time are considered?,Profit = investment × time,"A invests Rs. 1,000 in a business for 6 months. B invests Rs. 2,000 for 4 months. Find the ratio of their profits.",Easy,1 : 2,3 : 4,4 : 3,4 : 6,Option B,"Profit ∝ Investment × Time ; A = ₹1,000 for 6 months 
⇒A's contribution = 1000×6 = 6000.  
B = ₹2,000 for 4 months 
⇒B's  contribution 2000×4 = 8000
Ratio of profits =6000:8000 = 3:4"
,,,,"A and B are partners in a business. A invested Rs. 6,000 for 8 months. B invested some amount for 6 months. If they share the profit equally, what is B's investment?",Medium,Rs 7000,Rs 5000,Rs 8000,Rs 4000,Option C,"we know, Profit = investment × time
A's contribution = 6000×8 = 48,000
Let B's investment = x. B's contribution = 6x
They get equal profit ⇒ 48,000=6x⇒x=8,000
So, B invested ₹8,000"
,,,,A and B start a business with Rs. 50000 and Rs. 45000. After 4 months A withdrawn Rs. 15000 and B invest Rs. 5000 more and C joined the business with Rs. 35000 only for the next 4 months. If the total annual profit is Rs. 24000. What will be the profit share of C?,Hard,Rs. 2900,Rs. 2800,Rs. 5600,Rs. 8000,Option B,"Given,  
Total Profit = Rs. 24000
The ratio of equivalent capitals of A, B, and C.
⇒ (50000 × 4 + 35000 × 8 : 45000 × 4 + 50000 × 8 : 35000 × 4)
⇒ 480000 : 580000 : 140000
⇒ 24 : 29 : 7
Sum of ratios;
⇒ 24 + 29 + 7
⇒ 60
C share’s = (7/60) × 24000
⇒ Rs. 2800
The profit share of C is Rs. 2800."
,,Do you have an idea which factor affects the ratio of investment amount in a partnership?,Time of investment,"A and B entered into a partnership with their capitals in the ratio 5 : 2. At the end of 8 months, A withdraw his capital. If they receives the profit in the ratio 5 : 1, Find how long B capital was used?
",Easy,5 months,3 months,6 months,4 months,Option D,"Given;
Ratio of A and B capital = 5 : 2.
and let be time period for B be ( t ) ,
we know ; Share of profit = amount invested × time period
Ratio of share of profit = A : B
(5 × 8) : (2 × t) = 5 : 1
t = 4 
so , t = 4 months . it means the time period of B is 4 months."
,,,,Vinay and Rajan are partners in a business. Vinay invests 3/4th of the capital for 5 months. Rajan received 1/2 of the total profit. For how many months did Rajan invest his capital?,Medium,9 months ,12 months ,15 months ,18 months ,Option C,"Let the total capital invested be x and the months, for which Rajan's amount was invested, be m.
⇒ Ratio of profit will be in proportion to amount and time invested.
⇒ Vinay : (3/4 × x × 5)
⇒ Rajan : (1/4 × x × m)
⇒ Profit here is distributed equally.
 ⇒ 3/4 × x × 5 = 1/4 × x × m
⇒ m = 15 months
so , Rajan invests his capital for 15 months ."
,,,,"Sumit started a business with Rs. 31,500 and is joined afterward by Sunny with Rs. 54,000. After how many months did Sunny join if the profits at the end of the year are divided equally?",Hard,5 months,7 months,6 months,4 months,Option A,"Profit = Investment x Time
Let, Sanjay joined after x months. Sanjay invested for (12-x) month.
Time investment by Sumit is 12 month.
As profit is shared equally, Profit ratio will be 1: 1.
Then, 31500 × 12 = 54000 × (12 - x)
⇒ 31500 = 4500 × (12 - x)  ⇒ 7 = (12 - x) 
⇒x = 5 months
Sunny joined after 5 months."
,,,,,,,,,,,
Time Speed and Distance,Basics And Average speed ,"Do you know the general formula that connects Distance, Speed, and Time?",D=S×T,What distance will a bike cover if it travels at 40 km/hr for 2 hours?,Easy,76,60,80,100,Option C,Distance=Speed*Time =40 km/hr*2 hr =80 km
,,,,A truck travels a distance of 150 km at a speed of 50 km per hour. What is the time taken to cover this distance?,Medium,1hr,2hrs,3hrs,4hrs,Option C,Time=Distance/Speed =150 km/50 kmph =3 hrs
,,,,A bus covers half the distance between two cities at 40 km/h and the other half at 60 km/h. What is the average speed of the bus for the whole journey of 240 km?,Hard,48km/h,40km/h,56km/h,64km/hr,Option A,"Step 1: Distance covered at 40 km/h
Half of 240 = 120 km
Time = 120 ÷ 40 = 3 hours

Step 2: Distance covered at 60 km/h
Remaining distance = 120 km
Time = 120 ÷ 60 = 2 hours

Step 3: Total time
Total time = 3 + 2 = 5 hours

Step 4: Average Speed formula
Average Speed = Total Distance ÷ Total Time
= 240 ÷ 5
= 48 km/h"
,,,,,,,,,,,
,,Do you know the formula to convert speed from km/h to m/s?,(Speed × 5) / 18,"Convert 90 kmph to m/s?",Easy,15 m/s,12.9 m/s,25 m/s,26 m/s,Option C,"1kmph=5/18 m/s
=90*(5/18)
 =25 m/s"
,,,,Convert 20 mps to kmph ?,Medium,72 kmph,46 kmph,100 kmph,84 kmph,Option A,"1mps=18/5 kmph
=20*(18/5)
=72 kmph"
,,,,"Person covers a 400 meters long street in 6 minutes, what is their speed in km per hour?",Hard,4,8,24,200,Option A,"Speed=Distance/Time
          =400/(6*60)
          =400/360 m/s
Convert m/s to kmph
           =(400/360)*(18/5)
             =4 kmph"
,,,,,,,,,,,
,,Do you know the formula for average speed when distances are equal and when time intervals are equal?,"For equal distances = 2xy/(x+y), and for equal time intervals = (x+y)/2","Anitha travels the first 200 km at 60 km/hr and the next 200 km at 72 km/hr. What is the average speed of Anitha?
",Easy,35.75 kmph,45 kmph,25 kmph,80 kmph,Option C,"Time=Distance/Speed
Time difference =30+20=50 mins
Convert mins to hr  then 50/60 hrs
Distance consider as x
Here  Distance difference
(x/5)-(x/6)=5/6 hrs
(6x-5x)/30=5/6
x=25 km"
,,,,"John travels at 26 km/h for 2 hours and then at 46 km/h for 2 hours, what is John's average speed for the entire journey?",Medium,10,20,54,25,Option A,"Here Time is same 
Average speed=(x+y)/2
                         =(26+46)/2
                         =36 kmph
 1 kmph=5/18 m/s
Then 
=36*(5/18)
=10 m/s
"
,,,,A bus travels at 3/5 of its actual speed and covers a distance of 75 km in 2 hours 30 minutes. What is the bus actual speed?,Hard,50,15,20,35,Option A,"Actual speed=x 
Distance = 75 km
Time=2 hr 30 mins
       = 2(30/60)
        =2(1/2)
         =5/2 hrs
Speed=distance/time
3x/5=75/(5/2)
(3x/5)*(5/2)=75
3x/2=75
3x=75*2
x=50 kmph"
,,,,,,,,,,,
,Relative Speed,Do you know the formula for Relative Speed when two objects move in opposite directions and in the same direction?,"Relative Speed (Opposite Direction)= Speed1 + Speed2
Relative Speed(Same Direction) = Speed1 – Speed2","Two cars, initially 140 kilometers apart, are driving opposite to each other. The first car is traveling at 45 km/h, and the second car is moving at 25 km/h.After how much time will they meet?
",Easy,2hr,3hr,5hr,6hr,Option A,"First car(A) travelling at speed = 45 km/hr
 Second car(B) travelling at speed = 25 km/hr

 Relative Speed of A and B = (45+25) km/hr = 70 km/hr
 Time = Total distance / Relative speed
          = 140/70 = 2hr
"
,,,,"Two bikes, initially 50 kilometers apart, are driving in the same direction. The bike(A)  is traveling at 40 km/h, and the bike(B) is moving at 30 km/h.After how much time will they meet?",Medium,2hr,3hr,2hr,5hr,Option D,"First bike(A) travelling at speed = 40km/hr
Second bike(B) travelling at speed = 30km/hr

Relative Speed of A and B  = (40 - 30) km/hr = 10 km/hr
                                    Time = Total distance / Relative speed
                                              = 50/10 = 5hr"
